Samples,Xpos,Ypos,Pow,NebMode
0,7.744759532289542,-7.447683590232263,6.089676082883315,0
1,7.760070510743603,-7.462970342410077,6.099873106181128,0
2,7.754966851258914,-7.452779174291534,6.094774594532222,0
3,7.760070510743603,-7.462970342410077,6.099873106181128,0
4,7.744759532289542,-7.442588006172992,6.089676082883315,0
5,7.760070510743603,-7.462970342410077,6.099873106181128,0
6,7.760070510743603,-7.462970342410077,6.099873106181128,0
7,7.765174170228285,-7.462970342410077,6.104971617830035,0
8,7.77027782971297,-7.468065926469348,6.104971617830035,0
9,7.765174170228285,-7.462970342410077,6.099873106181128,0
10,7.765174170228285,-7.468065926469348,6.104971617830035,0
11,7.765174170228285,-7.468065926469348,6.099873106181128,0
12,7.765174170228285,-7.462970342410077,6.099873106181128,0
13,7.765174170228285,-7.468065926469348,6.099873106181128,0
14,7.765174170228285,-7.462970342410077,6.099873106181128,0
15,7.765174170228285,-7.462970342410077,6.099873106181128,0
16,7.765174170228285,-7.462970342410077,6.099873106181128,0
17,7.760070510743603,-7.457874758350806,6.099873106181128,0
18,7.765174170228285,-7.462970342410077,6.099873106181128,0
19,7.760070510743603,-7.457874758350806,6.099873106181128,0
20,7.760070510743603,-7.462970342410077,6.099873106181128,0
21,7.760070510743603,-7.462970342410077,6.099873106181128,0
22,7.760070510743603,-7.462970342410077,6.099873106181128,0
23,7.760070510743603,-7.457874758350806,6.099873106181128,0
24,7.760070510743603,-7.462970342410077,6.099873106181128,0
25,7.754966851258914,-7.457874758350806,6.094774594532222,0
26,7.765174170228285,-7.468065926469348,6.099873106181128,0
27,7.760070510743603,-7.457874758350806,6.094774594532222,0
28,7.754966851258914,-7.457874758350806,6.094774594532222,0
29,7.760070510743603,-7.457874758350806,6.099873106181128,0
30,7.760070510743603,-7.462970342410077,6.099873106181128,0
31,7.760070510743603,-7.457874758350806,6.094774594532222,0
32,7.754966851258914,-7.457874758350806,6.094774594532222,0
33,7.760070510743603,-7.457874758350806,6.099873106181128,0
34,7.760070510743603,-7.457874758350806,6.094774594532222,0
35,7.760070510743603,-7.462970342410077,6.099873106181128,0
36,7.760070510743603,-7.462970342410077,6.099873106181128,0
37,7.754966851258914,-7.457874758350806,6.094774594532222,0
38,7.754966851258914,-7.457874758350806,6.094774594532222,0
39,7.765174170228285,-7.462970342410077,6.104971617830035,0
40,7.765174170228285,-7.462970342410077,6.099873106181128,0
41,7.765174170228285,-7.462970342410077,6.099873106181128,0
42,7.765174170228285,-7.462970342410077,6.099873106181128,0
43,7.760070510743603,-7.457874758350806,6.099873106181128,0
